frame,t,activity,outlet,liquid,disturbed,outside_ratio,blobs,contrast,noise_sigma,threshold,flowing,became_flowing,finished
59,1.9667,0.0,0.0,0,0,0.02675,0.0,0.0,0.431,12.0,0,0,0
60,2.0,0.0,0.0,0,0,0.02021,0.0,0.0,0.472,12.0,0,0,0
61,2.0333,0.0,0.0,0,0,0.02013,0.0,0.0,0.455,12.0,0,0,0
62,2.0667,0.0,0.0,0,0,0.02227,0.0,0.0,0.432,12.0,0,0,0
63,2.1,0.0,0.0,0,0,0.02555,0.0,0.0,0.426,12.0,0,0,0
64,2.1333,0.0,0.0,0,0,0.02558,0.0,0.0,0.423,12.0,0,0,0
65,2.1667,0.0,0.0,0,0,0.0285,0.0,0.0,0.428,12.0,0,0,0
66,2.2,0.0,0.0,0,0,0.02582,0.0,0.0,0.416,12.0,0,0,0
67,2.2333,0.0,0.0,0,0,0.02387,0.0,0.0,0.416,12.0,0,0,0
68,2.2667,0.0,0.0,0,0,0.02146,0.0,0.0,0.404,12.0,0,0,0
69,2.3,0.0,0.0,0,0,0.0241,0.0,0.0,0.409,12.0,0,0,0
70,2.3333,0.0,0.0,0,0,0.02808,0.0,0.0,0.402,12.0,0,0,0
71,2.3667,0.0,0.0,0,0,0.02757,0.0,0.0,0.398,12.0,0,0,0
72,2.4,0.0,0.0,0,0,0.028,0.0,0.0,0.428,12.0,0,0,0
73,2.4333,0.0,0.0,0,0,0.02449,0.0,0.0,0.414,12.0,0,0,0
74,2.4667,0.0,0.0,0,0,0.02453,0.0,0.0,0.403,12.0,0,0,0
75,2.5,0.0,0.0,0,0,0.02449,0.0,0.0,0.392,12.0,0,0,0
76,2.5333,0.0,0.0,0,0,0.02656,0.0,0.0,0.392,12.0,0,0,0
77,2.5667,0.0,0.0,0,0,0.02948,0.0,0.0,0.382,12.0,0,0,0
78,2.6,0.0,0.0,0,0,0.02944,0.0,0.0,0.374,12.0,0,0,0
79,2.6333,0.0,0.0,0,0,0.02648,0.0,0.0,0.369,12.0,0,0,0
80,2.6667,0.0,0.0,0,0,0.02387,0.0,0.0,0.361,12.0,0,0,0
81,2.7,0.0,0.0,0,0,0.02461,0.0,0.0,0.36,12.0,0,0,0
82,2.7333,0.0,0.0,0,0,0.0271,0.0,0.0,0.361,12.0,0,0,0
83,2.7667,0.0,0.0,0,0,0.02827,0.0,0.0,0.363,12.0,0,0,0
84,2.8,0.0,0.0,0,0,0.03209,0.0,0.0,0.412,12.0,0,0,0
85,2.8333,0.0,0.0,0,0,0.03065,0.0,0.0,0.397,12.0,0,0,0
86,2.8667,0.0,0.0,0,0,0.02558,0.0,0.0,0.372,12.0,0,0,0
87,2.9,0.0,0.0,0,0,0.02048,0.0,0.0,0.366,12.0,0,0,0
88,2.9333,0.0,0.0,0,0,0.02504,0.0,0.0,0.356,12.0,0,0,0
89,2.9667,0.0,0.0,0,0,0.02656,0.0,0.0,0.351,12.0,0,0,0
90,3.0,0.0,0.0,0,0,0.03341,0.0,0.0,0.385,12.0,0,0,0
91,3.0333,0.0,0.0,0,0,0.03485,0.0,0.0,0.394,12.0,0,0,0
92,3.0667,0.0,0.0,0,0,0.03474,0.0,0.0,0.39,12.0,0,0,0
93,3.1,0.0,0.0,0,0,0.03435,0.0,0.0,0.388,12.0,0,0,0
94,3.1333,0.0,0.0,0,0,0.03033,0.0,0.0,0.38,12.0,0,0,0
95,3.1667,0.0,0.0,0,0,0.02718,0.0,0.0,0.378,12.0,0,0,0
96,3.2,0.0,0.0,0,0,0.02998,0.0,0.0,0.405,12.0,0,0,0
97,3.2333,0.0,0.0,0,0,0.03228,0.0,0.0,0.389,12.0,0,0,0
98,3.2667,0.0,0.0,0,0,0.03571,0.0,0.0,0.388,12.0,0,0,0
99,3.3,0.0,0.0,0,0,0.03571,0.0,0.0,0.381,12.0,0,0,0
100,3.3333,0.0,0.0,0,0,0.03357,0.0,0.0,0.374,12.0,0,0,0
101,3.3667,0.0,0.0,0,0,0.03403,0.0,0.0,0.368,12.0,0,0,0
102,3.4,0.0,0.0,0,0,0.03248,0.0,0.0,0.358,12.0,0,0,0
103,3.4333,0.0,0.0,0,0,0.03209,0.0,0.0,0.356,12.0,0,0,0
104,3.4667,0.0,0.0,0,0,0.03065,0.0,0.0,0.35,12.0,0,0,0
105,3.5,0.0,0.0,0,0,0.03244,0.0,0.0,0.357,12.0,0,0,0
106,3.5333,0.2037,0.0,1,0,0.03392,1.0,8.134,0.366,12.0,0,0,0
107,3.5667,0.21296,0.0,1,0,0.03419,1.0,8.132,0.372,12.0,0,0,0
108,3.6,0.00926,0.04167,1,0,0.03945,1.0,11.681,0.428,12.0,0,0,0
109,3.6333,0.55093,0.0,1,0,0.03894,2.0,8.607,0.383,12.0,0,0,0
110,3.6667,0.0,0.0,0,0,0.03536,0.0,0.0,0.37,12.0,0,0,0
111,3.7,0.0,0.0,0,0,0.03349,0.0,0.0,0.367,12.0,0,0,0
112,3.7333,0.08333,0.0625,1,0,0.03279,2.0,9.713,0.367,12.0,0,0,0
113,3.7667,0.26389,0.0,1,0,0.03575,1.0,7.899,0.374,12.0,0,0,0
114,3.8,0.0,0.0,0,0,0.04046,0.0,0.0,0.384,12.0,0,0,0
115,3.8333,0.0,0.0,0,0,0.0447,0.0,0.0,0.395,12.0,0,0,0
116,3.8667,0.0,0.0,0,0,0.04603,0.0,0.0,0.393,12.0,0,0,0
117,3.9,0.0,0.0,0,0,0.0428,0.0,0.0,0.384,12.0,0,0,0
118,3.9333,0.0,0.0,0,0,0.04046,0.0,0.0,0.375,12.0,0,0,0
119,3.9667,0.00926,0.04167,1,0,0.03567,1.0,10.233,0.367,12.0,0,0,0
120,4.0,0.0,0.0,0,0,0.03544,0.0,0.0,0.395,12.0,0,0,0
121,4.0333,0.0,0.0,0,0,0.03945,0.0,0.0,0.376,12.0,0,0,0
122,4.0667,0.0,0.0,0,0,0.04463,0.0,0.0,0.371,12.0,0,0,0
123,4.1,0.0,0.0,0,0,0.04914,0.0,0.0,0.381,12.0,0,0,0
124,4.1333,0.0,0.0,0,0,0.0491,0.0,0.0,0.375,12.0,0,0,0
125,4.1667,0.0,0.0,0,0,0.04552,0.0,0.0,0.375,12.0,0,0,0
126,4.2,0.0,0.0,0,0,0.04034,0.0,0.0,0.365,12.0,0,0,0
127,4.2333,0.13426,0.0,1,0,0.03275,2.0,12.095,0.36,12.0,0,0,0
128,4.2667,0.14815,0.0,1,0,0.03563,2.0,12.126,0.361,12.0,0,0,0
129,4.3,0.0,0.0,0,0,0.04373,0.0,0.0,0.361,12.0,0,0,0
130,4.3333,0.0,0.0,0,0,0.04981,0.0,0.0,0.367,12.0,0,0,0
131,4.3667,0.0,0.0,0,0,0.05206,0.0,0.0,0.38,12.0,0,0,0
132,4.4,0.0,0.0,0,0,0.0493,0.0,0.0,0.441,12.0,0,0,0
133,4.4333,0.0,0.0,0,0,0.04907,0.0,0.0,0.416,12.0,0,0,0
134,4.4667,0.0,0.0,0,0,0.0454,0.0,0.0,0.406,12.0,0,0,0
135,4.5,0.0,0.0,0,0,0.04529,0.0,0.0,0.395,12.0,0,0,0
136,4.5333,0.0,0.0,0,0,0.04755,0.0,0.0,0.393,12.0,0,0,0
137,4.5667,0.0,0.0,0,0,0.05417,0.0,0.0,0.386,12.0,0,0,0
138,4.6,0.0,0.0,0,0,0.05709,0.0,0.0,0.39,12.0,0,0,0
139,4.6333,0.0,0.0,0,0,0.05685,0.0,0.0,0.386,12.0,0,0,0
140,4.6667,0.0,0.0,0,0,0.05382,0.0,0.0,0.381,12.0,0,0,0
141,4.7,0.0,0.0,0,0,0.05487,0.0,0.0,0.385,12.0,0,0,0
142,4.7333,0.88889,0.5,1,0,0.05444,1.0,17.84,0.376,12.0,0,0,0
143,4.7667,0.0,0.0,0,0,0.05876,0.0,0.0,0.398,12.0,0,0,0
144,4.8,0.0,0.0,0,0,0.06129,0.0,0.0,0.449,12.0,0,0,0
145,4.8333,0.0,0.0,0,0,0.06125,0.0,0.0,0.412,12.0,0,0,0
146,4.8667,0.0,0.0,0,0,0.06055,0.0,0.0,0.4,12.0,0,0,0
147,4.9,0.0,0.0,0,0,0.06012,0.0,0.0,0.384,12.0,0,0,0
148,4.9333,0.0,0.0,0,0,0.06203,0.0,0.0,0.398,12.0,0,0,0
149,4.9667,0.0,0.0,0,0,0.06223,0.0,0.0,0.382,12.0,0,0,0
150,5.0,0.0,0.0,0,0,0.06733,0.0,0.0,0.385,12.0,0,0,0
151,5.0333,0.0,0.0,0,0,0.06476,0.0,0.0,0.382,12.0,0,0,0
152,5.0667,0.0,0.0,0,0,0.06464,0.0,0.0,0.381,12.0,0,0,0
153,5.1,0.0,0.0,0,0,0.06445,0.0,0.0,0.39,12.0,0,0,0
154,5.1333,0.0,0.0,0,0,0.06398,0.0,0.0,0.379,12.0,0,0,0
155,5.1667,0.0,0.0,0,0,0.06523,0.0,0.0,0.387,12.0,0,0,0
