frame,t,activity,outlet,liquid,disturbed,outside_ratio,blobs,contrast,noise_sigma,threshold,flowing,became_flowing,finished
203,6.7667,0.90741,0.58333,1,0,0.0116,1.0,15.43,0.262,12.0,1,0,0
204,6.8,0.90741,0.58333,1,0,0.0148,1.0,15.679,0.341,12.0,1,0,0
205,6.8333,0.90741,0.58333,1,0,0.01491,1.0,15.782,0.296,12.0,1,0,0
206,6.8667,0.90741,0.58333,1,0,0.01308,1.0,15.788,0.277,12.0,1,0,0
207,6.9,0.90741,0.58333,1,0,0.01121,1.0,15.73,0.285,12.0,1,0,0
208,6.9333,0.90741,0.58333,1,0,0.01005,1.0,15.691,0.275,12.0,1,0,0
209,6.9667,0.90741,0.58333,1,0,0.00845,1.0,15.702,0.277,12.0,1,0,0
210,7.0,0.90741,0.58333,1,0,0.00806,1.0,15.67,0.277,12.0,1,0,0
211,7.0333,0.90741,0.58333,1,0,0.00802,1.0,15.672,0.285,12.0,1,0,0
212,7.0667,0.90741,0.58333,1,0,0.01012,1.0,15.614,0.266,12.0,1,0,0
213,7.1,0.90741,0.58333,1,0,0.01133,1.0,15.635,0.273,12.0,1,0,0
214,7.1333,0.90741,0.58333,1,0,0.01098,1.0,15.496,0.277,12.0,1,0,0
215,7.1667,0.91204,0.60417,1,0,0.0109,1.0,15.477,0.285,12.0,1,0,0
216,7.2,0.90741,0.58333,1,0,0.00736,1.0,15.402,0.352,12.0,1,0,0
217,7.2333,0.90741,0.58333,1,0,0.00658,1.0,15.516,0.328,12.0,1,0,0
218,7.2667,0.90741,0.58333,1,0,0.00619,1.0,15.436,0.31,12.0,1,0,0
219,7.3,0.90741,0.58333,1,0,0.00646,1.0,15.439,0.322,12.0,1,0,0
220,7.3333,0.91204,0.60417,1,0,0.00658,1.0,15.393,0.301,12.0,1,0,0
221,7.3667,0.91204,0.60417,1,0,0.00681,1.0,15.453,0.3,12.0,1,0,0
222,7.4,0.90741,0.58333,1,0,0.00744,1.0,15.513,0.295,12.0,1,0,0
223,7.4333,0.91204,0.60417,1,0,0.00833,1.0,15.468,0.305,12.0,1,0,0
224,7.4667,0.91204,0.60417,1,0,0.00884,1.0,15.409,0.298,12.0,1,0,0
225,7.5,0.91204,0.60417,1,0,0.00767,1.0,15.457,0.299,12.0,1,0,0
226,7.5333,0.91204,0.60417,1,0,0.00767,1.0,15.458,0.297,12.0,1,0,0
227,7.5667,0.91204,0.60417,1,0,0.01028,1.0,15.473,0.297,12.0,1,0,0
228,7.6,0.91204,0.60417,1,0,0.01546,1.0,15.516,0.35,12.0,1,0,0
229,7.6333,0.91204,0.60417,1,0,0.01285,1.0,15.576,0.312,12.0,1,0,0
230,7.6667,0.91204,0.60417,1,0,0.01285,1.0,15.576,0.31,12.0,1,0,0
231,7.7,0.91204,0.60417,1,0,0.01355,1.0,15.582,0.312,12.0,1,0,0
232,7.7333,0.91204,0.60417,1,0,0.01375,1.0,15.618,0.295,12.0,1,0,0
233,7.7667,0.91204,0.60417,1,0,0.01351,1.0,15.636,0.295,12.0,1,0,0
234,7.8,0.91204,0.60417,1,0,0.00954,1.0,15.593,0.279,12.0,1,0,0
235,7.8333,0.91204,0.60417,1,0,0.00896,1.0,15.62,0.27,12.0,1,0,0
236,7.8667,0.91204,0.60417,1,0,0.00938,1.0,15.581,0.268,12.0,1,0,0
237,7.9,0.91204,0.60417,1,0,0.01184,1.0,15.57,0.271,12.0,1,0,0
238,7.9333,0.91204,0.60417,1,0,0.01192,1.0,15.558,0.259,12.0,1,0,0
