frame,t,activity,outlet,liquid,disturbed,outside_ratio,blobs,contrast,noise_sigma,threshold,flowing,became_flowing,finished
59,1.9667,0.02315,0.10417,1,0,0.00409,2.0,12.073,0.175,12.0,0,0,0
60,2.0,0.02778,0.125,1,0,0.00284,1.0,12.325,0.242,12.0,0,0,0
61,2.0333,0.02315,0.10417,1,0,0.00171,1.0,12.233,0.208,12.0,0,0,0
62,2.0667,0.0,0.0,0,0,0.0028,0.0,0.0,0.198,12.0,0,0,0
63,2.1,0.02778,0.125,1,0,0.00171,1.0,12.25,0.194,12.0,0,0,0
64,2.1333,0.0,0.0,0,0,0.00222,0.0,0.0,0.188,12.0,0,0,0
65,2.1667,0.02778,0.125,1,0,0.00167,1.0,12.304,0.19,12.0,0,0,0
66,2.2,0.0,0.0,0,0,0.00241,0.0,0.0,0.184,12.0,0,0,0
67,2.2333,0.01852,0.08333,1,0,0.00152,1.0,11.964,0.189,12.0,0,0,0
68,2.2667,0.02315,0.10417,1,0,0.0014,1.0,12.087,0.202,12.0,0,0,0
69,2.3,0.02315,0.10417,1,0,0.00101,1.0,12.096,0.214,12.0,0,0,0
70,2.3333,0.0,0.0,0,0,0.00315,0.0,0.0,0.226,12.0,0,0,0
71,2.3667,0.0,0.0,0,0,0.00206,0.0,0.0,0.211,12.0,0,0,0
72,2.4,0.02315,0.10417,1,0,0.00327,2.0,12.916,0.339,12.0,0,0,0
73,2.4333,0.03241,0.14583,1,0,0.0028,2.0,12.795,0.263,12.0,0,0,0
74,2.4667,0.02778,0.125,1,0,0.00327,2.0,12.345,0.252,12.0,0,0,0
75,2.5,0.01852,0.08333,1,0,0.00265,1.0,12.185,0.26,12.0,0,0,0
76,2.5333,0.01852,0.08333,1,0,0.003,2.0,12.363,0.247,12.0,0,0,0
77,2.5667,0.01852,0.08333,1,0,0.00249,2.0,12.431,0.232,12.0,0,0,0
78,2.6,0.01852,0.08333,1,0,0.00495,1.0,12.617,0.23,12.0,0,0,0
79,2.6333,0.01852,0.08333,1,0,0.0046,2.0,12.594,0.227,12.0,0,0,0
80,2.6667,0.01389,0.0625,1,0,0.00483,1.0,12.572,0.225,12.0,0,0,0
81,2.7,0.0,0.0,0,0,0.00479,0.0,0.0,0.226,12.0,0,0,0
82,2.7333,0.0,0.0,0,0,0.00463,0.0,0.0,0.221,12.0,0,0,0
83,2.7667,0.01852,0.08333,1,0,0.00288,2.0,12.218,0.219,12.0,0,0,0
84,2.8,0.02778,0.125,1,0,0.00222,1.0,12.354,0.272,12.0,0,0,0
85,2.8333,0.01852,0.08333,1,0,0.00296,1.0,12.103,0.246,12.0,0,0,0
86,2.8667,0.02315,0.10417,1,0,0.00323,1.0,12.491,0.228,12.0,0,0,0
87,2.9,0.01852,0.08333,1,0,0.0028,2.0,12.219,0.232,12.0,0,0,0
88,2.9333,0.01852,0.08333,1,0,0.00607,1.0,12.597,0.233,12.0,0,0,0
89,2.9667,0.02315,0.10417,1,0,0.00498,2.0,12.521,0.234,12.0,0,0,0
90,3.0,0.94444,0.75,1,0,0.00814,4.0,14.798,0.262,12.0,0,0,0
91,3.0333,0.94444,0.75,1,0,0.00931,4.0,14.906,0.263,12.0,0,0,0
92,3.0667,0.94444,0.75,1,0,0.00923,4.0,14.868,0.25,12.0,0,0,0
93,3.1,0.93519,0.70833,1,0,0.00779,2.0,15.14,0.257,12.0,0,0,0
94,3.1333,0.93519,0.70833,1,0,0.00806,2.0,15.106,0.256,12.0,0,0,0
95,3.1667,0.93519,0.70833,1,0,0.00872,2.0,15.089,0.258,12.0,0,0,0
96,3.2,0.93056,0.6875,1,0,0.00728,2.0,15.169,0.342,12.0,0,0,0
97,3.2333,0.92593,0.66667,1,0,0.00705,2.0,15.08,0.326,12.0,0,0,0
98,3.2667,0.93056,0.6875,1,0,0.00662,2.0,15.058,0.296,12.0,0,0,0
99,3.3,0.92593,0.66667,1,0,0.00752,2.0,15.142,0.28,12.0,0,0,0
100,3.3333,0.92593,0.66667,1,0,0.00767,2.0,15.115,0.267,12.0,1,1,0
101,3.3667,0.93519,0.70833,1,0,0.00709,2.0,15.127,0.258,12.0,1,0,0
102,3.4,0.93056,0.6875,1,0,0.00709,2.0,15.118,0.261,12.0,1,0,0
103,3.4333,0.93981,0.72917,1,0,0.00845,2.0,15.217,0.258,12.0,1,0,0
104,3.4667,0.93981,0.72917,1,0,0.00942,2.0,15.148,0.263,12.0,1,0,0
105,3.5,0.95833,0.8125,1,0,0.00876,3.0,14.835,0.258,12.0,1,0,0
106,3.5333,0.95833,0.8125,1,0,0.0097,3.0,14.841,0.257,12.0,1,0,0
107,3.5667,0.95833,0.8125,1,0,0.00946,3.0,14.912,0.263,12.0,1,0,0
108,3.6,0.95833,0.8125,1,0,0.01071,4.0,14.599,0.371,12.0,1,0,0
109,3.6333,0.94907,0.77083,1,0,0.01055,3.0,14.738,0.325,12.0,1,0,0
110,3.6667,0.95833,0.8125,1,0,0.0118,3.0,14.772,0.299,12.0,1,0,0
111,3.7,0.95833,0.8125,1,0,0.01125,3.0,14.759,0.286,12.0,1,0,0
112,3.7333,0.95833,0.8125,1,0,0.01157,3.0,14.698,0.274,12.0,1,0,0
113,3.7667,0.95833,0.8125,1,0,0.01067,3.0,14.799,0.266,12.0,1,0,0
114,3.8,0.95833,0.8125,1,0,0.01063,3.0,14.762,0.259,12.0,1,0,0
115,3.8333,0.94907,0.77083,1,0,0.01055,3.0,14.807,0.275,12.0,1,0,0
116,3.8667,0.94907,0.77083,1,0,0.01133,3.0,14.801,0.273,12.0,1,0,0
117,3.9,0.94907,0.77083,1,0,0.01114,3.0,14.773,0.288,12.0,1,0,0
118,3.9333,0.94907,0.77083,1,0,0.01118,3.0,14.84,0.284,12.0,1,0,0
119,3.9667,0.94907,0.77083,1,0,0.01199,3.0,14.911,0.278,12.0,1,0,0
120,4.0,0.95833,0.8125,1,0,0.01211,3.0,14.916,0.333,12.0,1,0,0
121,4.0333,0.94907,0.77083,1,0,0.01133,3.0,14.893,0.288,12.0,1,0,0
122,4.0667,0.95833,0.8125,1,0,0.01129,3.0,14.855,0.271,12.0,1,0,0
123,4.1,0.95833,0.8125,1,0,0.01145,3.0,14.963,0.267,12.0,1,0,0
124,4.1333,0.95833,0.8125,1,0,0.01114,3.0,14.904,0.267,12.0,1,0,0
125,4.1667,0.94907,0.77083,1,0,0.01051,3.0,14.924,0.266,12.0,1,0,0
126,4.2,0.94907,0.77083,1,0,0.01036,3.0,14.89,0.259,12.0,1,0,0
127,4.2333,0.94907,0.77083,1,0,0.00989,3.0,14.948,0.261,12.0,1,0,0
128,4.2667,0.94907,0.77083,1,0,0.01048,3.0,14.91,0.265,12.0,1,0,0
129,4.3,0.94907,0.77083,1,0,0.01086,3.0,14.953,0.275,12.0,1,0,0
130,4.3333,0.94907,0.77083,1,0,0.01145,3.0,14.957,0.271,12.0,1,0,0
131,4.3667,0.94444,0.75,1,0,0.00954,3.0,15.056,0.266,12.0,1,0,0
132,4.4,0.94444,0.75,1,0,0.00864,3.0,14.964,0.301,12.0,1,0,0
133,4.4333,0.94444,0.75,1,0,0.00822,3.0,15.037,0.265,12.0,1,0,0
134,4.4667,0.94444,0.75,1,0,0.00822,3.0,15.006,0.258,12.0,1,0,0
135,4.5,0.94444,0.75,1,0,0.00775,3.0,14.998,0.266,12.0,1,0,0
136,4.5333,0.94444,0.75,1,0,0.0079,3.0,15.058,0.256,12.0,1,0,0
137,4.5667,0.94444,0.75,1,0,0.00759,3.0,15.108,0.25,12.0,1,0,0
138,4.6,0.94444,0.75,1,0,0.00876,3.0,15.055,0.25,12.0,1,0,0
139,4.6333,0.94444,0.75,1,0,0.00794,3.0,15.097,0.255,12.0,1,0,0
140,4.6667,0.94444,0.75,1,0,0.00798,3.0,15.13,0.259,12.0,1,0,0
141,4.7,0.94444,0.75,1,0,0.00783,3.0,15.09,0.272,12.0,1,0,0
142,4.7333,0.94907,0.77083,1,0,0.00755,3.0,15.047,0.266,12.0,1,0,0
