frame,t,activity,outlet,liquid,disturbed,outside_ratio,blobs,contrast,noise_sigma,threshold,flowing,became_flowing,finished
0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,0.0333,0.0,0.0,0,0,0.0,0.0,0.0,1.0,12.0,0,0,0
2,0.0667,0.0,0.0,0,0,0.0,0.0,0.0,1.0,12.0,0,0,0
3,0.1,0.0,0.0,0,0,0.0,0.0,0.0,1.0,12.0,0,0,0
4,0.1333,0.0,0.0,0,0,0.0,0.0,0.0,1.0,12.0,0,0,0
5,0.1667,0.0,0.0,0,0,0.0,0.0,0.0,1.0,12.0,0,0,0
6,0.2,0.0,0.0,0,0,0.0,0.0,0.0,1.0,12.0,0,0,0
7,0.2333,0.0,0.0,0,0,0.0,0.0,0.0,1.0,12.0,0,0,0
8,0.2667,0.0,0.0,0,0,0.0,0.0,0.0,1.0,12.0,0,0,0
9,0.3,0.0,0.0,0,0,0.0,0.0,0.0,1.0,12.0,0,0,0
10,0.3333,0.0,0.0,0,0,0.0,0.0,0.0,1.0,12.0,0,0,0
11,0.3667,0.0,0.0,0,0,0.0,0.0,0.0,1.0,12.0,0,0,0
12,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.133,12.0,0,0,0
13,0.4333,0.0,0.0,0,0,0.0,0.0,0.0,0.111,12.0,0,0,0
14,0.4667,0.0,0.0,0,0,0.0,0.0,0.0,0.102,12.0,0,0,0
15,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0.1,12.0,0,0,0
16,0.5333,0.0,0.0,0,0,0.0,0.0,0.0,0.105,12.0,0,0,0
17,0.5667,0.0,0.0,0,0,0.0,0.0,0.0,0.114,12.0,0,0,0
18,0.6,0.0,0.0,0,0,0.0,0.0,0.0,0.125,12.0,0,0,0
19,0.6333,0.0,0.0,0,0,0.0,0.0,0.0,0.137,12.0,0,0,0
20,0.6667,0.0,0.0,0,0,0.0,0.0,0.0,0.162,12.0,0,0,0
21,0.7,0.0,0.0,0,0,0.0,0.0,0.0,0.161,12.0,0,0,0
22,0.7333,0.0,0.0,0,0,0.0,0.0,0.0,0.178,12.0,0,0,0
23,0.7667,0.0,0.0,0,0,0.0,0.0,0.0,0.187,12.0,0,0,0
24,0.8,0.0,0.0,0,0,0.0,0.0,0.0,0.251,12.0,0,0,0
25,0.8333,0.0,0.0,0,0,0.0,0.0,0.0,0.239,12.0,0,0,0
26,0.8667,0.0,0.0,0,0,0.0,0.0,0.0,0.234,12.0,0,0,0
27,0.9,0.0,0.0,0,0,0.0,0.0,0.0,0.226,12.0,0,0,0
28,0.9333,0.0,0.0,0,0,0.0,0.0,0.0,0.219,12.0,0,0,0
29,0.9667,0.0,0.0,0,0,0.0,0.0,0.0,0.221,12.0,0,0,0
30,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.223,12.0,0,0,0
31,1.0333,0.0,0.0,0,0,0.0,0.0,0.0,0.227,12.0,0,0,0
32,1.0667,0.0,0.0,0,0,0.0,0.0,0.0,0.239,12.0,0,0,0
33,1.1,0.0,0.0,0,0,0.0,0.0,0.0,0.264,12.0,0,0,0
34,1.1333,0.0,0.0,0,0,0.0,0.0,0.0,0.259,12.0,0,0,0
35,1.1667,0.0,0.0,0,0,0.0,0.0,0.0,0.266,12.0,0,0,0
36,1.2,0.0,0.0,0,0,0.0,0.0,0.0,0.362,12.0,0,0,0
37,1.2333,0.0,0.0,0,0,0.0,0.0,0.0,0.332,12.0,0,0,0
38,1.2667,0.0,0.0,0,0,0.0,0.0,0.0,0.317,12.0,0,0,0
39,1.3,0.0,0.0,0,0,0.0,0.0,0.0,0.319,12.0,0,0,0
40,1.3333,0.0,0.0,0,0,0.0,0.0,0.0,0.312,12.0,0,0,0
41,1.3667,0.0,0.0,0,0,0.0,0.0,0.0,0.311,12.0,0,0,0
42,1.4,0.0,0.0,0,0,0.0,0.0,0.0,0.308,12.0,0,0,0
43,1.4333,0.0,0.0,0,0,0.0,0.0,0.0,0.303,12.0,0,0,0
44,1.4667,0.0,0.0,0,0,0.0,0.0,0.0,0.306,12.0,0,0,0
45,1.5,0.0,0.0,0,0,0.0,0.0,0.0,0.31,12.0,0,0,0
46,1.5333,0.0,0.0,0,0,0.0,0.0,0.0,0.306,12.0,0,0,0
47,1.5667,0.0,0.0,0,0,0.0,0.0,0.0,0.31,12.0,0,0,0
48,1.6,0.0,0.0,0,0,0.0,0.0,0.0,0.38,12.0,0,0,0
49,1.6333,0.0,0.0,0,0,0.0,0.0,0.0,0.356,12.0,0,0,0
50,1.6667,0.0,0.0,0,0,0.0,0.0,0.0,0.341,12.0,0,0,0
51,1.7,0.0,0.0,0,0,0.0,0.0,0.0,0.345,12.0,0,0,0
52,1.7333,0.0,0.0,0,0,0.0,0.0,0.0,0.344,12.0,0,0,0
53,1.7667,0.0,0.0,0,0,0.0,0.0,0.0,0.345,12.0,0,0,0
54,1.8,0.0,0.0,0,0,0.0,0.0,0.0,0.336,12.0,0,0,0
55,1.8333,0.0,0.0,0,0,0.0,0.0,0.0,0.362,12.0,0,0,0
56,1.8667,0.0,0.0,0,0,0.0,0.0,0.0,0.357,12.0,0,0,0
57,1.9,0.0,0.0,0,0,0.0,0.0,0.0,0.353,12.0,0,0,0
58,1.9333,0.0,0.0,0,0,0.0,0.0,0.0,0.345,12.0,0,0,0
59,1.9667,0.0,0.0,0,0,0.0,0.0,0.0,0.346,12.0,0,0,0
60,2.0,0.0,0.0,0,0,0.0,0.0,0.0,0.416,12.0,0,0,0
