frame,t,activity,outlet,liquid,disturbed,outside_ratio,blobs,contrast,noise_sigma,threshold,flowing,became_flowing,finished
59,1.9667,0.01852,0.08333,1,0,0.0016,2.0,12.097,0.301,12.0,0,0,0
60,2.0,0.01389,0.0625,1,0,0.00047,1.0,12.251,0.584,12.0,0,0,0
61,2.0333,0.00926,0.04167,1,0,0.00058,1.0,12.513,0.457,12.0,0,0,0
62,2.0667,0.01852,0.08333,1,0,0.00195,2.0,12.149,0.392,12.0,0,0,0
63,2.1,0.00926,0.04167,1,0,0.0028,1.0,11.952,0.37,12.0,0,0,0
64,2.1333,0.02778,0.125,1,0,0.00288,3.0,12.396,0.366,12.0,0,0,0
65,2.1667,0.02778,0.125,1,0,0.00253,2.0,12.469,0.381,12.0,0,0,0
66,2.2,0.01852,0.08333,1,0,0.00164,3.0,12.202,0.354,12.0,0,0,0
67,2.2333,0.00926,0.04167,1,0,0.00043,1.0,11.79,0.396,12.0,0,0,0
68,2.2667,0.01389,0.0625,1,0,0.0007,1.0,12.062,0.359,12.0,0,0,0
69,2.3,0.02315,0.10417,1,0,0.00093,3.0,11.966,0.381,12.0,0,0,0
70,2.3333,0.00926,0.04167,1,0,0.00276,1.0,11.996,0.402,12.0,0,0,0
71,2.3667,0.00926,0.04167,1,0,0.00245,1.0,11.871,0.428,12.0,0,0,0
72,2.4,0.01852,0.08333,1,0,0.0016,2.0,12.583,0.655,12.0,0,0,0
73,2.4333,0.01852,0.08333,1,0,0.00016,3.0,12.048,0.623,12.0,0,0,0
74,2.4667,0.0,0.0,0,0,0.0009,0.0,0.0,0.59,12.0,0,0,0
75,2.5,0.0,0.0,0,0,0.00066,0.0,0.0,0.498,12.0,0,0,0
76,2.5333,0.01389,0.0625,1,0,0.0007,1.0,11.693,0.516,12.0,0,0,0
77,2.5667,0.01852,0.08333,1,0,0.00156,3.0,12.482,0.501,12.0,0,0,0
78,2.6,0.01852,0.08333,1,0,0.00175,3.0,12.449,0.502,12.0,0,0,0
79,2.6333,0.01389,0.0625,1,0,0.00129,3.0,11.967,0.515,12.0,0,0,0
80,2.6667,0.0,0.0,0,0,0.00055,0.0,0.0,0.489,12.0,0,0,0
81,2.7,0.0,0.0,0,0,0.0,0.0,0.0,0.496,12.0,0,0,0
82,2.7333,0.0,0.0,0,0,0.00051,0.0,0.0,0.551,12.0,0,0,0
83,2.7667,0.0,0.0,0,0,0.0,0.0,0.0,0.559,12.0,0,0,0
84,2.8,0.0,0.0,0,0,0.00039,0.0,0.0,0.656,12.0,0,0,0
85,2.8333,0.0,0.0,0,0,0.00012,0.0,0.0,0.626,12.0,0,0,0
86,2.8667,0.0,0.0,0,0,0.0,0.0,0.0,0.577,12.0,0,0,0
87,2.9,0.0,0.0,0,0,0.0,0.0,0.0,0.542,12.0,0,0,0
88,2.9333,0.0,0.0,0,0,0.0,0.0,0.0,0.517,12.0,0,0,0
89,2.9667,0.0,0.0,0,0,0.0,0.0,0.0,0.512,12.0,0,0,0
90,3.0,0.90741,0.58333,1,0,0.0028,1.0,14.814,0.583,12.0,0,0,0
91,3.0333,0.90741,0.58333,1,0,0.00261,1.0,14.922,0.617,12.0,0,0,0
92,3.0667,0.90741,0.58333,1,0,0.00284,1.0,14.915,0.618,12.0,0,0,0
93,3.1,0.90741,0.58333,1,0,0.00284,1.0,14.947,0.623,12.0,0,0,0
94,3.1333,0.90741,0.58333,1,0,0.00276,1.0,15.016,0.601,12.0,0,0,0
95,3.1667,0.90278,0.5625,1,0,0.00284,1.0,15.002,0.59,12.0,0,0,0
96,3.2,0.90741,0.58333,1,0,0.00312,1.0,15.196,0.588,12.0,0,0,0
97,3.2333,0.90741,0.58333,1,0,0.00308,1.0,15.231,0.597,12.0,0,0,0
98,3.2667,0.90741,0.58333,1,0,0.00339,1.0,15.17,0.618,12.0,0,0,0
99,3.3,0.90741,0.58333,1,0,0.00319,1.0,15.196,0.615,12.0,0,0,0
100,3.3333,0.90741,0.58333,1,0,0.00327,1.0,15.167,0.606,12.0,1,1,0
101,3.3667,0.90741,0.58333,1,0,0.00382,1.0,15.182,0.609,12.0,1,0,0
102,3.4,0.90741,0.58333,1,0,0.00296,1.0,15.129,0.594,12.0,1,0,0
103,3.4333,0.90741,0.58333,1,0,0.00288,1.0,15.176,0.585,12.0,1,0,0
104,3.4667,0.90741,0.58333,1,0,0.00284,1.0,15.158,0.575,12.0,1,0,0
105,3.5,0.90741,0.58333,1,0,0.0035,1.0,15.108,0.6,12.0,1,0,0
106,3.5333,0.90741,0.58333,1,0,0.00424,1.0,15.196,0.597,12.0,1,0,0
