frame,t,activity,outlet,liquid,disturbed,outside_ratio,blobs,contrast,noise_sigma,threshold,flowing,became_flowing,finished
60,2.0,0.00926,0.04167,1,0,0.00019,1.0,8.669,0.504,12.0,0,0,0
61,2.0333,0.00926,0.04167,1,0,0.0,1.0,8.671,0.454,12.0,0,0,0
62,2.0667,0.0,0.0,0,0,0.0,0.0,0.0,0.429,12.0,0,0,0
63,2.1,0.0,0.0,0,0,0.0,0.0,0.0,0.412,12.0,0,0,0
64,2.1333,0.0,0.0,0,0,0.0,0.0,0.0,0.406,12.0,0,0,0
65,2.1667,0.0,0.0,0,0,0.0,0.0,0.0,0.405,12.0,0,0,0
66,2.2,0.00926,0.04167,1,0,0.00012,1.0,8.801,0.401,12.0,0,0,0
67,2.2333,0.00926,0.04167,1,0,0.0,1.0,8.758,0.41,12.0,0,0,0
68,2.2667,0.01852,0.08333,1,0,0.00113,3.0,11.858,0.405,12.0,0,0,0
69,2.3,0.0,0.0,0,0,0.0,0.0,0.0,0.404,12.0,0,0,0
70,2.3333,0.0,0.0,0,0,0.0,0.0,0.0,0.4,12.0,0,0,0
71,2.3667,0.0,0.0,0,0,0.0,0.0,0.0,0.396,12.0,0,0,0
72,2.4,0.0,0.0,0,0,0.0,0.0,0.0,0.473,12.0,0,0,0
73,2.4333,0.0,0.0,0,0,0.0,0.0,0.0,0.456,12.0,0,0,0
74,2.4667,0.01389,0.0625,1,0,0.00058,3.0,12.207,0.444,12.0,0,0,0
75,2.5,0.01852,0.08333,1,0,0.00078,4.0,12.15,0.437,12.0,0,0,0
76,2.5333,0.01389,0.0625,1,0,0.0009,3.0,12.246,0.436,12.0,0,0,0
77,2.5667,0.0,0.0,0,0,0.0,0.0,0.0,0.419,12.0,0,0,0
78,2.6,0.0,0.0,0,0,0.0,0.0,0.0,0.413,12.0,0,0,0
79,2.6333,0.0,0.0,0,0,0.0,0.0,0.0,0.402,12.0,0,0,0
80,2.6667,0.0,0.0,0,0,0.00012,0.0,0.0,0.4,12.0,0,0,0
81,2.7,0.0,0.0,0,0,0.00113,0.0,0.0,0.401,12.0,0,0,0
82,2.7333,0.0,0.0,0,0,0.00148,0.0,0.0,0.401,12.0,0,0,0
83,2.7667,0.0,0.0,0,0,0.00132,0.0,0.0,0.391,12.0,0,0,0
84,2.8,0.0,0.0,0,0,0.00062,0.0,0.0,0.461,12.0,0,0,0
85,2.8333,0.0,0.0,0,0,0.0,0.0,0.0,0.434,12.0,0,0,0
86,2.8667,0.0,0.0,0,0,0.0,0.0,0.0,0.394,12.0,0,0,0
87,2.9,0.00926,0.04167,1,0,0.00066,1.0,12.359,0.383,12.0,0,0,0
88,2.9333,0.00926,0.04167,1,0,0.00199,1.0,12.131,0.379,12.0,0,0,0
89,2.9667,0.0,0.0,0,0,0.00199,0.0,0.0,0.376,12.0,0,0,0
90,3.0,0.89815,0.54167,1,0,0.00475,2.0,14.843,0.41,12.0,0,0,0
91,3.0333,0.89815,0.54167,1,0,0.00366,2.0,15.096,0.44,12.0,0,0,0
92,3.0667,0.89815,0.54167,1,0,0.00358,2.0,15.045,0.446,12.0,0,0,0
93,3.1,0.89815,0.54167,1,0,0.00354,2.0,15.013,0.446,12.0,0,0,0
94,3.1333,0.00926,0.04167,1,0,0.00506,1.0,10.455,0.441,12.0,0,0,0
95,3.1667,0.0,0.0,0,0,0.00744,0.0,0.0,0.442,12.0,0,0,0
96,3.2,0.01389,0.0625,1,0,0.00643,1.0,11.981,0.443,12.0,0,0,0
97,3.2333,0.0,0.0,0,0,0.00627,0.0,0.0,0.417,12.0,0,0,0
98,3.2667,0.89815,0.54167,1,0,0.00397,4.0,14.631,0.421,12.0,0,0,0
99,3.3,0.89815,0.54167,1,0,0.00405,4.0,14.672,0.419,12.0,0,0,0
100,3.3333,0.89815,0.54167,1,0,0.00386,3.0,14.661,0.421,12.0,0,0,0
101,3.3667,0.0,0.0,0,0,0.00787,0.0,0.0,0.432,12.0,0,0,0
102,3.4,0.0,0.0,0,0,0.00911,0.0,0.0,0.414,12.0,0,0,0
103,3.4333,0.0,0.0,0,0,0.00892,0.0,0.0,0.401,12.0,0,0,0
104,3.4667,0.01852,0.08333,1,0,0.00631,1.0,12.244,0.39,12.0,0,0,0
105,3.5,0.89815,0.54167,1,0,0.00498,4.0,13.864,0.399,12.0,0,0,0
106,3.5333,0.89352,0.52083,1,0,0.00413,4.0,14.065,0.423,12.0,0,0,0
107,3.5667,0.01389,0.0625,1,0,0.00658,1.0,11.417,0.437,12.0,0,0,0
108,3.6,0.0,0.0,0,0,0.00806,0.0,0.0,0.519,12.0,0,0,0
109,3.6333,0.0,0.0,0,0,0.00935,0.0,0.0,0.455,12.0,0,0,0
110,3.6667,0.01852,0.08333,1,0,0.00771,1.0,12.812,0.42,12.0,0,0,0
111,3.7,0.01852,0.08333,1,0,0.00596,2.0,12.469,0.41,12.0,0,0,0
112,3.7333,0.01389,0.0625,1,0,0.00413,1.0,11.846,0.393,12.0,0,0,0
113,3.7667,0.01852,0.08333,1,0,0.0044,2.0,11.898,0.395,12.0,0,0,0
114,3.8,0.01852,0.08333,1,0,0.00611,1.0,12.71,0.412,12.0,0,0,0
115,3.8333,0.0,0.0,0,0,0.00771,0.0,0.0,0.439,12.0,0,0,0
116,3.8667,0.0,0.0,0,0,0.0079,0.0,0.0,0.436,12.0,0,0,0
